CD_NAME,NCBI_NAME,GeneID,Synonyms,map_location,description,Other_designations
CD328,SIGLEC7,27036,AIRM1 CD328 CDw328 D-siglec QA79 SIGLEC-7 SIGLEC19P SIGLECP2 p75 p75/AIRM1,19q13.41,sialic acid binding Ig like lectin 7,"sialic acid-binding Ig-like lectin 7; AIRM-1; QA79 membrane protein; adhesion inhibitory receptor molecule 1, siglec-7; sialic acid binding immunoglobulin-like lectin 7"
CD329,SIGLEC9,27180,CD329 CDw329 FOAP-9 OBBP-LIKE siglec-9,19q13.41,sialic acid binding Ig like lectin 9,sialic acid-binding Ig-like lectin 9; protein FOAP-9
CD331,FGFR1,2260,BFGFR CD331 CEK ECCL FGFBR FGFR-1 FLG FLT-2 FLT2 HBGFR HH2 HRTFDS KAL2 N-SAM OGD bFGF-R-1,8p11.23,fibroblast growth factor receptor 1,fibroblast growth factor receptor 1; FGFR1/PLAG1 fusion; FMS-like tyrosine kinase 2; basic fibroblast growth factor receptor 1; fms-related tyrosine kinase 2; heparin-binding growth factor receptor; hydroxyaryl-protein kinase; proto-oncogene c-Fgr
CD332,FGFR2,2263,BBDS BEK BFR-1 CD332 CEK3 CFD1 ECT1 JWS K-SAM KGFR TK14 TK25,10q26.13,fibroblast growth factor receptor 2,"fibroblast growth factor receptor 2; BEK fibroblast growth factor receptor; bacteria-expressed kinase; keratinocyte growth factor receptor; protein tyrosine kinase, receptor like 14"
CD333,FGFR3,2261,ACH CD333 CEK2 HSFGFR3EX JTK4,4p16.3,fibroblast growth factor receptor 3,fibroblast growth factor receptor 3; FGFR-3; fibroblast growth factor receptor 3 variant 4; hydroxyaryl-protein kinase; tyrosine kinase JTK4
CD334,FGFR4,2264,CD334 JTK2 TKF,5q35.2,fibroblast growth factor receptor 4,fibroblast growth factor receptor 4; hydroxyaryl-protein kinase; protein-tyrosine kinase; tyrosine kinase related to fibroblast growth factor receptor; tyrosylprotein kinase
CD335,NCR1,9437,CD335 LY94 NK-p46 NKP46,19q13.42,natural cytotoxicity triggering receptor 1,natural cytotoxicity triggering receptor 1; NK cell-activating receptor; lymphocyte antigen 94 homolog (activating NK-receptor; NK-p46); natural killer cell p46-related protein
CD336,NCR2,9436,CD336 LY95 NK-p44 NKP44 dJ149M18.1,6p21.1,natural cytotoxicity triggering receptor 2,natural cytotoxicity triggering receptor 2; NK cell activating receptor (NKp44); NK cell-activating receptor; lymphocyte antigen 95 (activating NK-receptor; NK-p44); lymphocyte antigen 95 homolog (activating NK-receptor; NK-p44); natural killer cell p44-related protein
CD337,NCR3,259197,1C7 CD337 LY117 MALS NKp30,6p21.33,natural cytotoxicity triggering receptor 3,natural cytotoxicity triggering receptor 3; NK-p30; activating NK-A1 receptor; activating natural killer receptor p30; lymphocyte antigen 117; natural killer cell p30-related protein
CD338,ABCG2,9429,ABC15 ABCP BCRP BCRP1 BMDP CD338 CDw338 EST157481 GOUT1 MRX MXR MXR-1 MXR1 UAQTL1,4q22.1,ATP binding cassette subfamily G member 2 (Junior blood group),"ATP-binding cassette sub-family G member 2; ABC transporter; ATP-binding cassette transporter G2; ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group); breast cancer resistance protein; mitoxantrone resistance-associated protein; multi drug resistance efflux transport ATP-binding cassette sub-family G (WHITE) member 2; placenta specific MDR protein; placenta-specific ATP-binding cassette transporter; urate exporter"
CD339,JAG1,182,AGS AGS1 AHD AWS CD339 HJ1 JAGL1,20p12.2,jagged 1,protein jagged-1
CD340,ERBB2,2064,CD340 HER-2 HER-2/neu HER2 MLN 19 NEU NGL TKR1,17q12,erb-b2 receptor tyrosine kinase 2,"receptor tyrosine-protein kinase erbB-2; c-erb B2/neu protein; herstatin; human epidermal growth factor receptor 2; metastatic lymph node gene 19 protein; neuro/glioblastoma derived oncogene homolog; neuroblastoma/glioblastoma derived oncogene homolog; p185erbB2; proto-oncogene Neu; proto-oncogene c-ErbB-2; tyrosine kinase-type cell surface receptor HER2; v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2; v-erb-b2 avian erythroblastic leukemia viral oncoprotein 2; v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog"
CD344,FZD4,8322,CD344 EVR1 FEVR FZD4S Fz-4 Fz4 FzE4 GPCR hFz4,11q14.2,frizzled class receptor 4,"frizzled-4; WNT receptor frizzled-4; frizzled 4, seven transmembrane spanning receptor; frizzled family receptor 4; frizzled homolog 4"
CD349,FZD9,8326,CD349 FZD3,7q11.23,frizzled class receptor 9,"frizzled-9; frizzled 9, seven transmembrane spanning receptor; frizzled family receptor 9; frizzled homolog 9; fz-9; fzE6; hFz9"
CD350,FZD10,11211,CD350 FZ-10 Fz10 FzE7 hFz10,12q24.33,frizzled class receptor 10,"frizzled-10; frizzled 10, seven transmembrane spanning receptor; frizzled family receptor 10; frizzled homolog 10"
CD351,FCAMR,83953,CD351 FCA/MR FKSG87,1q32.1,Fc fragment of IgA and IgM receptor,"high affinity immunoglobulin alpha and immunoglobulin mu Fc receptor; Fc alpha/mu receptor; Fc receptor, IgA, IgM, high affinity; immunity related factor; receptor for Fc fragment of IgA and IgM"
CD352,SLAMF6,114836,CD352 KALI KALIb Ly108 NTB-A NTBA SF2000,1q23.2-q23.3,SLAM family member 6,"SLAM family member 6; NK-T-B-antigen; NTBA receptor; activating NK receptor; natural killer-, T- and B-cell antigen"
CD353,SLAMF8,56833,BLAME CD353 SBBI42,1q23.2,SLAM family member 8,SLAM family member 8; B lymphocyte activator macrophage expressed; BCM-like membrane protein
CD354,TREM1,54210,CD354 TREM-1,6p21.1,triggering receptor expressed on myeloid cells 1,triggering receptor expressed on myeloid cells 1; triggering receptor expressed on monocytes 1
CD355,CRTAM,56253,CD355,11q24.1,cytotoxic and regulatory T-cell molecule,cytotoxic and regulatory T-cell molecule; class-I MHC-restricted T-cell-associated molecule
CD357,TNFRSF18,8784,AITR CD357 GITR GITR-D,1p36.33,TNF receptor superfamily member 18,tumor necrosis factor receptor superfamily member 18; TNF receptor superfamily activation-inducible protein; activation-inducible TNFR family receptor; glucocorticoid-induced TNFR-related protein
CD358,TNFRSF21,27242,BM-018 CD358 DR6,6p12.3,TNF receptor superfamily member 21,tumor necrosis factor receptor superfamily member 21; TNFR-related death receptor 6; death receptor 6
CD360,IL21R,50615,CD360 NILR,16p12.1,interleukin 21 receptor,interleukin-21 receptor; IL-21 receptor; novel interleukin receptor
CD361,EVI2B,2124,CD361 D17S376 EVDB,17q11.2,ecotropic viral integration site 2B,protein EVI2B; EVI-2B; ecotropic viral integration site 2B protein homolog
CD362,SDC2,6383,CD362 HSPG HSPG1 SYND2,8q22.1,syndecan 2,"syndecan-2; cell surface-associated heparan sulfate proteoglycan 1; fibroglycan; heparan sulfate proteoglycan 1, cell surface-associated; heparan sulfate proteoglycan core protein; syndecan proteoglycan 2"
CD363,S1PR1,1901,CD363 CHEDG1 D1S3362 ECGF1 EDG-1 EDG1 S1P1,1p21.2,sphingosine-1-phosphate receptor 1,"sphingosine 1-phosphate receptor 1; S1P receptor 1; S1P receptor Edg-1; endothelial differentiation G-protein coupled receptor 1; endothelial differentiation, sphingolipid G-protein-coupled receptor, 1; sphingosine 1-phosphate receptor EDG1; sphingosine 1-phosphate receptor Edg-1"
CD364,PI16,221476,CD364 CRISP9 MSMBBP PSPBP,6p21.2,peptidase inhibitor 16,"peptidase inhibitor 16; PSP94-binding protein; cysteine-rich secretory protein 9; microseminoprotein, beta-binding protein; protease inhibitor 16"
CD365,HAVCR1,26762,CD365 HAVCR HAVCR-1 KIM-1 KIM1 TIM TIM-1 TIM1 TIMD-1 TIMD1,5q33.3,hepatitis A virus cellular receptor 1,hepatitis A virus cellular receptor 1; T cell immunoglobin domain and mucin domain protein 1; T-cell immunoglobulin mucin family member 1; T-cell immunoglobulin mucin receptor 1; T-cell membrane protein 1; kidney injury molecule 1
CD366,HAVCR2,84868,CD366 HAVcr-2 KIM-3 TIM3 TIMD-3 TIMD3 Tim-3,5q33.3,hepatitis A virus cellular receptor 2,hepatitis A virus cellular receptor 2; T cell immunoglobulin mucin 3; T-cell immunoglobulin and mucin domain-containing protein 3; T-cell immunoglobulin mucin family member 3; T-cell immunoglobulin mucin receptor 3; T-cell membrane protein 3; kidney injury molecule-3
CD367,CLEC4A,50856,CD367 CLECSF6 DCIR DDB27 HDCGC13P LLIR,12p13.31,C-type lectin domain family 4 member A,"C-type lectin domain family 4 member A; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 6; C-type lectin DDB27; C-type lectin superfamily member 6; dendritic cell immunoreceptor; lectin-like immunoreceptor"
CD368,CLEC4D,338339,CD368 CLEC-6 CLEC6 CLECSF8 MCL MPCL,12p13.31,C-type lectin domain family 4 member D,"C-type lectin domain family 4 member D; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 8; C-type lectin receptor; C-type lectin superfamily member 8; C-type lectin-like receptor 6; macrophage C-type lectin"
CD369,CLEC7A,64581,BGR CANDF4 CD369 CLECSF12 DECTIN1 SCARE2,12p13.2,C-type lectin domain family 7 member A,"C-type lectin domain family 7 member A; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12; C-type lectin superfamily member 12; DC-associated C-type lectin 1; beta-glucan receptor; dectin-1; dendritic cell-associated C-type lectin-1; lectin-like receptor 1"
CD370,CLEC9A,283420,CD370 DNGR-1 DNGR1 UNQ9341,12p13.2,C-type lectin domain family 9 member A,C-type lectin domain family 9 member A; HEEE9341
CD371,CLEC12A,160364,CD371 CLL-1 CLL1 DCAL-2 MICL,12p13.31,C-type lectin domain family 12 member A,C-type lectin domain family 12 member A; C-type lectin protein CLL-1; C-type lectin-like molecule-1; dendritic cell-associated lectin 2; myeloid inhibitory C-type lectin-like receptor
